Temperature,Time,Raspi_id
36.024,2022-08-25 13:40:01,1
33.102,2022-08-25 13:45:01,1
33.102,2022-08-25 13:50:01,1
32.128,2022-08-25 13:55:01,1
32.615,2022-08-25 14:00:01,1
33.102,2022-08-25 14:05:01,1
33.102,2022-08-25 14:10:01,1
35.537,2022-08-25 14:15:01,1
32.128,2022-08-25 14:20:01,1
32.615,2022-08-25 14:25:02,1
33.102,2022-08-25 14:30:02,1
33.589,2022-08-25 14:35:02,1
31.154,2022-08-25 14:40:02,1
32.128,2022-08-25 14:45:02,1
32.128,2022-08-25 14:50:02,1
32.615,2022-08-25 14:55:02,1
30.667,2022-08-25 15:00:02,1
31.641,2022-08-25 15:05:02,1
31.641,2022-08-25 15:10:03,1
31.154,2022-08-25 15:15:03,1
31.154,2022-08-25 15:20:03,1
31.641,2022-08-25 15:25:03,1
31.154,2022-08-25 15:30:03,1
30.667,2022-08-25 15:35:03,1
31.154,2022-08-25 15:40:03,1
31.154,2022-08-25 15:45:03,1
31.641,2022-08-25 15:50:03,1
30.18,2022-08-25 15:55:04,1
30.667,2022-08-25 16:00:04,1
31.154,2022-08-25 16:05:04,1
31.641,2022-08-25 16:10:04,1
31.641,2022-08-25 16:15:04,1
33.102,2022-08-25 16:20:04,1
34.076,2022-08-25 16:25:04,1
34.076,2022-08-25 16:30:04,1
35.05,2022-08-25 16:35:04,1
35.05,2022-08-25 16:40:04,1
36.024,2022-08-25 16:45:05,1
36.024,2022-08-25 16:50:05,1
36.511,2022-08-25 16:55:05,1
37.485,2022-08-25 17:00:05,1
36.511,2022-08-25 17:05:05,1
36.998,2022-08-25 17:10:05,1
37.972,2022-08-25 17:15:05,1
36.998,2022-08-25 17:20:05,1
36.511,2022-08-25 17:25:05,1
36.998,2022-08-25 17:30:06,1
36.511,2022-08-25 17:35:06,1
38.459,2022-08-25 17:40:06,1
38.946,2022-08-25 17:45:06,1
37.485,2022-08-25 17:50:06,1
37.485,2022-08-25 17:55:06,1
36.998,2022-08-25 18:00:06,1
37.485,2022-08-25 18:05:06,1
36.998,2022-08-25 18:10:06,1
38.459,2022-08-25 18:15:07,1
38.459,2022-08-25 18:20:07,1
38.459,2022-08-25 18:25:07,1
37.485,2022-08-25 18:30:07,1
36.998,2022-08-25 18:35:07,1
37.972,2022-08-25 18:40:07,1
